step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
330,CASH_IN,280815.82,C385198652,73852.0,354667.82,C888873029,1533002.67,1252186.84,0,0
230,TRANSFER,205238.07,C105313713,0.0,0.0,C1687176738,262961.01,468199.08,0,0
131,CASH_OUT,2248584.96,C1701978189,2248584.96,0.0,C1864787656,44660.15,2293245.11,1,0
362,TRANSFER,1891921.94,C893956566,1891921.94,0.0,C1302223978,0.0,0.0,1,0
373,CASH_OUT,225460.99,C2086715470,0.0,0.0,C1002183323,1287784.99,1513245.98,0,0
301,PAYMENT,26623.18,C153298325,0.0,0.0,M494178325,0.0,0.0,0,0
635,CASH_OUT,13128.49,C276282396,13128.49,0.0,C1882040140,293704.01,306832.5,1,0
233,PAYMENT,11610.9,C339129455,10815.0,0.0,M139810853,0.0,0.0,0,0
241,CASH_OUT,1282731.68,C605364658,1282731.68,0.0,C925896842,0.0,1282731.68,1,0
311,CASH_OUT,2479691.37,C1805381656,2479691.37,0.0,C1314078496,16351.96,2496043.32,1,0
261,CASH_IN,50386.24,C421716573,131659.0,182045.24,C1753723645,68635.95,18249.72,0,0
83,CASH_OUT,594577.22,C422847899,594577.22,0.0,C52390890,685106.85,1279684.07,1,0
102,CASH_OUT,1076739.91,C1825306443,1076739.91,0.0,C1739925176,2186542.64,3263282.55,1,0
307,TRANSFER,11241580.48,C1911688068,0.0,0.0,C22650245,17110725.52,28352306.0,0,0
15,CASH_OUT,227683.95,C304042020,10357.0,0.0,C1808652004,804020.96,1031704.91,0,0
212,TRANSFER,927620.44,C533316597,927620.44,0.0,C762597253,0.0,0.0,1,0
712,CASH_OUT,372703.48,C1795832752,372703.48,0.0,C2097301606,14116.41,386819.89,1,0
132,CASH_IN,256687.81,C910427131,10106.0,266793.81,C1140337572,0.0,0.0,0,0
135,TRANSFER,515645.16,C885687058,515645.16,0.0,C1873143762,0.0,0.0,1,0
521,TRANSFER,5087422.03,C1720256828,5087422.03,0.0,C1859977645,0.0,0.0,1,0
363,TRANSFER,692895.24,C2142345212,692895.24,0.0,C1337488224,0.0,0.0,1,0
185,PAYMENT,5423.96,C1575879621,9422.0,3998.04,M825690982,0.0,0.0,0,0
130,PAYMENT,50647.07,C1169820306,12869.0,0.0,M1196147081,0.0,0.0,0,0
152,CASH_OUT,102945.99,C1847949987,102945.99,0.0,C1663207814,2276404.45,2379350.44,1,0
130,TRANSFER,350493.5,C1613718366,11429.0,0.0,C1184451857,1289652.13,1438364.03,0,0
301,PAYMENT,2247.38,C1199399082,25167.0,22919.62,M1112463833,0.0,0.0,0,0
134,CASH_OUT,10000000.0,C2064974440,10000000.0,0.0,C184545705,34082.32,10034082.32,1,0
29,TRANSFER,340198.41,C491994230,340198.41,0.0,C772681684,0.0,0.0,1,0
356,TRANSFER,298030.31,C165317399,0.0,0.0,C1710705610,1775608.86,2073639.17,0,0
255,PAYMENT,4961.13,C132739534,0.0,0.0,M628293365,0.0,0.0,0,0
242,TRANSFER,428174.7,C1226178731,428174.7,0.0,C1507357028,0.0,0.0,1,0
370,PAYMENT,2196.71,C1218972771,40274.0,38077.29,M1685070269,0.0,0.0,0,0
43,CASH_IN,2318.96,C249505113,94831.0,97149.96,C847921542,0.0,0.0,0,0
379,TRANSFER,161784.51,C1526396040,0.0,0.0,C1520005776,1897513.92,2059298.43,0,0
107,CASH_OUT,1299860.86,C481898497,1299860.86,0.0,C215244777,0.0,1299860.86,1,0
191,CASH_OUT,39008.11,C317160980,0.0,0.0,C56262827,403878.83,442886.94,0,0
284,CASH_OUT,174416.46,C1679796159,23623.0,0.0,C1997609500,3307339.26,3481755.71,0,0
395,CASH_IN,430237.88,C898525310,21130.0,451367.88,C1730241490,6825.88,0.0,0,0
181,CASH_OUT,226772.01,C270634978,0.0,0.0,C1695231993,2545044.78,2771816.79,0,0
221,TRANSFER,1123561.68,C1234309969,1123561.68,0.0,C587188586,0.0,0.0,1,0
108,CASH_OUT,99808.45,C1266810248,99808.45,0.0,C467980258,47744.92,147553.37,1,0
274,CASH_OUT,32046.53,C1430941232,1393.0,0.0,C439796676,0.0,32046.53,0,0
201,CASH_OUT,16182.7,C1296182118,16182.7,0.0,C1650668671,0.0,16182.7,1,0
228,TRANSFER,120491.56,C1613313609,120491.56,0.0,C1727044714,0.0,0.0,1,0
308,CASH_IN,40828.39,C1869568337,5403931.1,5444759.49,C684896216,3563983.77,3523155.38,0,0
43,PAYMENT,11748.67,C1150997444,0.0,0.0,M679965848,0.0,0.0,0,0
305,CASH_OUT,198759.45,C301287338,0.0,0.0,C1928429182,225130.08,423889.53,0,0
139,PAYMENT,17611.38,C199890790,374953.96,357342.57,M1286288243,0.0,0.0,0,0
276,CASH_IN,32979.05,C663709522,341737.49,374716.54,C1999776127,452074.49,419095.44,0,0
140,PAYMENT,3261.13,C324768809,10130.0,6868.87,M870690840,0.0,0.0,0,0
360,PAYMENT,4369.89,C1653974604,30440.0,26070.11,M1501989505,0.0,0.0,0,0
257,CASH_OUT,230204.96,C1587006115,230204.96,0.0,C1968237012,7435177.23,7665382.19,1,0
397,PAYMENT,35296.53,C1594261425,183617.97,148321.44,M1937703220,0.0,0.0,0,0
582,TRANSFER,1158373.23,C1874090524,1158373.23,0.0,C152963065,0.0,0.0,1,0
34,TRANSFER,279244.81,C1404404764,0.0,0.0,C1378012102,599734.84,878979.65,0,0
380,PAYMENT,8291.75,C1839467964,78078.0,69786.25,M1696474627,0.0,0.0,0,0
149,TRANSFER,7188425.25,C1962597060,7188425.25,0.0,C103010660,0.0,0.0,1,0
240,PAYMENT,11088.08,C903747691,5645.0,0.0,M177170289,0.0,0.0,0,0
106,TRANSFER,1409248.64,C1892918810,1409248.64,0.0,C2036490087,0.0,0.0,1,0
252,CASH_OUT,75713.37,C492695530,85314.0,9600.63,C2070155284,4379506.01,4455219.38,0,0
402,PAYMENT,12063.17,C951306608,98333.0,86269.83,M1322829712,0.0,0.0,0,0
201,PAYMENT,3122.13,C1606150037,2591.0,0.0,M1204800668,0.0,0.0,0,0
277,PAYMENT,4247.38,C1010377246,16571.54,12324.16,M1232493299,0.0,0.0,0,0
631,TRANSFER,341.3,C1952829902,341.3,0.0,C1360897728,0.0,0.0,1,0
413,TRANSFER,115085.31,C2039186549,115085.31,0.0,C544794295,0.0,0.0,1,0
203,TRANSFER,4644693.12,C774814056,4644693.12,0.0,C900711437,0.0,0.0,1,0
40,TRANSFER,1087223.98,C838486930,10023.0,0.0,C1350285443,222930.42,1310154.4,0,0
48,CASH_OUT,337974.21,C1171102344,337974.21,0.0,C1505545472,0.0,337974.21,1,0
301,PAYMENT,28401.6,C838891898,167318.39,138916.78,M2013806335,0.0,0.0,0,0
179,TRANSFER,225361.44,C1592823554,225361.44,0.0,C1657758486,0.0,0.0,1,0
353,CASH_OUT,120023.92,C306345904,0.0,0.0,C1311304394,153270.23,273294.15,0,0
365,CASH_OUT,93581.19,C750171680,93581.19,0.0,C220373789,0.0,93581.19,1,0
35,CASH_OUT,153838.2,C1127071197,0.0,0.0,C1857201732,182016.22,335854.42,0,0
155,CASH_OUT,232028.33,C68237825,0.0,0.0,C695973311,1275780.4,1507808.73,0,0
394,PAYMENT,48511.06,C1313120838,13749.0,0.0,M1182230241,0.0,0.0,0,0
307,CASH_OUT,228372.3,C933217403,5517.0,0.0,C1581499867,0.0,228372.3,0,0
563,TRANSFER,25529.76,C639239126,25529.76,0.0,C1290190637,0.0,0.0,1,0
35,CASH_OUT,112605.2,C490149364,13111.0,0.0,C174733068,168283.89,280889.09,0,0
75,CASH_OUT,755813.12,C127671231,755813.12,0.0,C974221574,494575.27,1250388.38,1,0
177,TRANSFER,1201681.76,C1900756070,1201681.76,0.0,C1995455020,0.0,0.0,1,0
584,TRANSFER,777448.03,C86523774,777448.03,0.0,C262188325,0.0,0.0,1,0
251,PAYMENT,3170.91,C1447666238,219203.9,216032.99,M1761842008,0.0,0.0,0,0
33,CASH_OUT,23636.09,C1366144087,30255.0,6618.91,C32768682,1800174.93,1823811.02,0,0
298,TRANSFER,40043.74,C1850753027,40043.74,0.0,C995702691,0.0,0.0,1,0
133,CASH_OUT,69934.93,C225235158,122656.0,52721.07,C266364945,36633.69,106568.62,0,0
727,TRANSFER,815384.83,C1145249863,815384.83,0.0,C1054116323,0.0,0.0,1,0
125,CASH_OUT,222097.11,C1167153094,222097.11,0.0,C744862329,383533.13,605630.23,1,0
179,CASH_OUT,289945.02,C62801724,0.0,0.0,C1997490429,8868357.26,9158302.28,0,0
303,TRANSFER,199870.29,C37736433,199870.29,0.0,C279131656,0.0,0.0,1,0
300,CASH_OUT,82725.03,C589295096,0.0,0.0,C260232771,336191.38,418916.41,0,0
251,CASH_OUT,82112.74,C1458675534,82112.74,0.0,C1324801555,7968.15,90080.89,1,0
259,PAYMENT,11860.69,C501319088,0.0,0.0,M671371355,0.0,0.0,0,0
212,PAYMENT,6379.56,C2091536284,1408.0,0.0,M103218684,0.0,0.0,0,0
15,CASH_OUT,89779.21,C1587689510,0.0,0.0,C1075073562,318583.6,408362.81,0,0
130,PAYMENT,6137.58,C1647434099,0.0,0.0,M1714098625,0.0,0.0,0,0
565,CASH_OUT,254947.37,C1850623085,254947.37,0.0,C1632237950,0.0,254947.37,1,0
41,TRANSFER,80743.96,C1096013002,3306.0,0.0,C651961913,4593.97,85337.93,0,0
33,CASH_OUT,150437.81,C162383782,0.0,0.0,C512131322,2465656.28,2616094.09,0,0
379,TRANSFER,36942.13,C1878038300,36942.13,0.0,C1256363889,0.0,0.0,1,0
329,PAYMENT,14836.97,C955118359,0.0,0.0,M592045530,0.0,0.0,0,0
569,TRANSFER,22117.99,C862057815,22117.99,0.0,C1962362775,0.0,0.0,1,0
331,PAYMENT,10272.08,C1277803912,9765.41,0.0,M1879487631,0.0,0.0,0,0
140,TRANSFER,1936584.58,C1763264679,0.0,0.0,C56868765,3439249.03,5375833.61,0,0
136,PAYMENT,12518.78,C1517434291,555.0,0.0,M159751874,0.0,0.0,0,0
273,TRANSFER,95235.46,C727037964,95235.46,0.0,C2000632199,0.0,0.0,1,0
25,CASH_OUT,1698263.69,C902520408,1698263.69,0.0,C1047966944,0.0,1698263.69,1,0
249,TRANSFER,299298.5,C1854457875,299298.5,0.0,C683162403,0.0,0.0,1,0
227,CASH_IN,201854.27,C1017966956,2806081.07,3007935.35,C1146855297,278900.0,29981.67,0,0
233,TRANSFER,122090.79,C1531940496,122090.79,0.0,C1898572552,0.0,0.0,1,0
464,TRANSFER,336917.97,C1108270870,336917.97,0.0,C815315430,0.0,0.0,1,0
373,CASH_OUT,75908.66,C1810805712,30272.0,0.0,C1580392086,0.0,75908.66,0,0
397,CASH_IN,233271.67,C1009330918,26887936.38,27121208.05,C910112681,1224380.56,991108.89,0,0
579,CASH_OUT,1540624.7,C1904414737,1540624.7,0.0,C2037994906,78012.35,1618637.05,1,0
237,CASH_OUT,249764.86,C1491147543,8091.0,0.0,C1258193770,48357.37,298122.23,0,0
260,PAYMENT,4988.14,C485934528,889.0,0.0,M363511423,0.0,0.0,0,0
58,CASH_OUT,3156421.43,C597790533,3156421.43,0.0,C1365109989,181440.45,3337861.88,1,0
44,PAYMENT,17125.6,C964846621,30650.0,13524.4,M1669196209,0.0,0.0,0,0
397,PAYMENT,30425.61,C628991655,49513.0,19087.39,M1688324866,0.0,0.0,0,0
256,PAYMENT,6081.9,C1322194641,13189.14,7107.24,M1027351298,0.0,0.0,0,0
733,TRANSFER,905919.58,C1435012203,905919.58,0.0,C450820106,0.0,0.0,1,0
374,PAYMENT,5135.35,C608671645,0.0,0.0,M921226396,0.0,0.0,0,0
256,CASH_IN,328660.16,C792477295,24643605.65,24972265.81,C731951816,743203.72,414543.57,0,0
302,CASH_OUT,101275.22,C1407428109,3511.0,0.0,C1882367955,0.0,101275.22,0,0
185,CASH_IN,76340.21,C1553633399,4038389.11,4114729.32,C913544953,135660.38,59320.17,0,0
212,CASH_OUT,31593.95,C1513967343,31593.95,0.0,C1815135338,428186.97,459780.93,1,0
398,PAYMENT,14052.21,C1634603029,0.0,0.0,M376336496,0.0,0.0,0,0
309,PAYMENT,34974.46,C1575597021,393681.32,358706.86,M882616304,0.0,0.0,0,0
40,TRANSFER,20314.97,C776336653,20314.97,0.0,C737099940,0.0,0.0,1,0
403,PAYMENT,783.56,C445959970,192254.0,191470.44,M1517027877,0.0,0.0,0,0
219,CASH_OUT,248242.32,C120655142,248242.32,0.0,C670432443,8007.84,256250.16,1,0
401,CASH_OUT,116518.08,C870450377,10340.0,0.0,C1977337631,1230458.33,1346976.41,0,0
386,CASH_OUT,6063657.03,C944295490,6063657.03,0.0,C925862909,1215280.38,7278937.41,1,0
203,CASH_OUT,319002.93,C109170414,9968.0,0.0,C737575309,0.0,319002.93,0,0
284,PAYMENT,20117.68,C1330477682,13292.0,0.0,M508216972,0.0,0.0,0,0
717,TRANSFER,2624422.62,C637096336,2624422.62,0.0,C1127132914,0.0,0.0,1,0
469,TRANSFER,2132805.47,C31550869,5049.0,0.0,C935871689,0.0,2132805.47,0,0
36,PAYMENT,2066.43,C1694176456,0.0,0.0,M1468368626,0.0,0.0,0,0
259,PAYMENT,3529.73,C1212403783,41908.0,38378.27,M860682538,0.0,0.0,0,0
440,TRANSFER,10000000.0,C1559534298,24339822.23,14339822.23,C1910926478,0.0,0.0,1,0
233,CASH_IN,220408.49,C1618153846,1945761.4,2166169.9,C661521303,828106.27,531343.34,0,0
371,CASH_OUT,140417.1,C1817905874,40094.0,0.0,C587134197,0.0,140417.1,0,0
354,CASH_OUT,24521.43,C386589054,0.0,0.0,C1651498338,223568.28,248089.71,0,0
117,CASH_OUT,466359.63,C1868920588,466359.63,0.0,C1810440109,910109.57,1376469.2,1,0
280,CASH_IN,198787.91,C1790629088,10318.0,209105.91,C1338106673,566201.9,367413.99,0,0
13,CASH_OUT,32083.32,C1885325061,11505.0,0.0,C1623590809,187218.52,11587.98,0,0
379,CASH_OUT,193891.12,C621860242,0.0,0.0,C853420566,262839.39,456730.51,0,0
16,CASH_IN,156151.56,C779834057,320230.87,476382.43,C1048196142,202741.45,46589.9,0,0
13,PAYMENT,1735.6,C350969937,0.0,0.0,M979960425,0.0,0.0,0,0
156,CASH_OUT,251884.6,C374273241,53086.0,0.0,C761783013,997335.16,1249219.76,0,0
401,PAYMENT,12966.27,C1535278832,50493.0,37526.73,M1214403806,0.0,0.0,0,0
544,PAYMENT,7841.99,C162915118,0.0,0.0,M947791254,0.0,0.0,0,0
33,CASH_IN,8841.63,C1905725516,8331704.54,8340546.16,C2017118277,12094376.96,12085535.33,0,0
18,CASH_OUT,53630.56,C1195619501,51190.0,0.0,C1797613951,9091.0,427292.69,0,0
209,CASH_OUT,1516823.73,C1090892452,1516823.73,0.0,C657813915,386329.46,1903153.19,1,0
16,TRANSFER,828720.89,C1422357582,828720.89,0.0,C366986030,0.0,0.0,1,0
42,CASH_IN,138883.68,C1699842159,7582312.56,7721196.24,C1158070487,238490.42,99606.74,0,0
251,TRANSFER,609416.21,C145364,609416.21,0.0,C312230940,0.0,0.0,1,0
552,CASH_OUT,221077.97,C1895360219,221077.97,0.0,C1325018812,0.0,221077.97,1,0
359,CASH_IN,28660.27,C1358193909,10191774.1,10220434.38,C1226835380,205474.97,176814.7,0,0
264,TRANSFER,72851.95,C140604393,740.0,0.0,C1703923334,1323061.06,1395913.01,0,0
255,TRANSFER,178507.33,C1848279233,13882.0,0.0,C1208394079,0.0,178507.33,0,0
230,PAYMENT,2671.61,C1312904410,0.0,0.0,M902205289,0.0,0.0,0,0
131,CASH_OUT,146661.26,C1168004888,0.0,0.0,C1626774027,2170912.13,2317573.39,0,0
177,CASH_IN,96007.69,C1709959005,44520.0,140527.69,C1371176138,142475.1,46467.4,0,0
425,TRANSFER,10000000.0,C1551381510,49585040.37,39585040.37,C1042012237,0.0,0.0,1,0
186,CASH_IN,114530.25,C1794879207,19715.0,134245.25,C107217084,2633757.66,2519227.4,0,0
458,CASH_OUT,22140.87,C679560563,22140.87,0.0,C1441581953,25511.14,47652.0,1,0
4,CASH_OUT,10000000.0,C351297720,10000000.0,0.0,C766681183,0.0,9941904.21,1,0
357,PAYMENT,11355.1,C845998191,1160.0,0.0,M1923636685,0.0,0.0,0,0
349,CASH_IN,124407.27,C705419413,4764216.0,4888623.27,C953009921,185764.15,61356.87,0,0
306,CASH_OUT,77203.12,C752233454,0.0,0.0,C1091730919,665397.06,742600.18,0,0
18,PAYMENT,6953.68,C37968404,12844.0,5890.31,M1603307398,0.0,0.0,0,0
185,CASH_IN,125960.35,C183328590,15269.0,141229.35,C816667995,35660.46,0.0,0,0
525,PAYMENT,18777.71,C1610632764,126.0,0.0,M1293258585,0.0,0.0,0,0
280,TRANSFER,1419189.35,C1673862860,0.0,0.0,C1973953609,1917267.26,3336456.61,0,0
5,TRANSFER,120074.73,C1409933277,120074.73,0.0,C162114152,0.0,0.0,1,0
288,CASH_OUT,44116.87,C820569216,44116.87,0.0,C1301835304,0.0,44116.87,1,0
375,CASH_OUT,118462.93,C2020423180,118462.93,0.0,C398791968,251578.05,370040.99,1,0
254,PAYMENT,16468.01,C1219248746,258361.6,241893.59,M1455927704,0.0,0.0,0,0
238,TRANSFER,22260.6,C1194956870,35.0,0.0,C1180947771,103765.56,126026.15,0,0
659,TRANSFER,1321984.45,C1167513964,1321984.45,0.0,C1455896575,0.0,0.0,1,0
193,PAYMENT,39265.11,C1925470497,11367.0,0.0,M1310635740,0.0,0.0,0,0
9,TRANSFER,994453.2,C1121789613,1437370.87,442917.67,C254839817,194812.76,665743.67,1,0
370,CASH_OUT,1822772.73,C628490839,1822772.73,0.0,C107223532,0.0,2004899.07,1,0
256,TRANSFER,176809.74,C1963208576,0.0,0.0,C121408432,4229333.65,4346654.15,0,0
253,TRANSFER,1037549.39,C1320326796,0.0,0.0,C1444452808,2221416.94,3643579.56,0,0
43,CASH_IN,24464.97,C2007732555,20783065.5,20807530.47,C1874257599,1376720.48,1352255.51,0,0
201,TRANSFER,2477661.97,C336094122,2477661.97,0.0,C382034420,0.0,0.0,1,0
179,CASH_IN,87681.25,C1446213259,7852554.66,7940235.91,C1702357112,6895253.23,6942203.7,0,0
588,PAYMENT,3688.18,C795564071,11771.0,8082.82,M1152151430,0.0,0.0,0,0
182,PAYMENT,4873.17,C2126766557,0.0,0.0,M1034180581,0.0,0.0,0,0
649,TRANSFER,963966.56,C333851574,963966.56,0.0,C1907611858,0.0,0.0,1,0
150,TRANSFER,163852.19,C1298700512,163852.19,0.0,C1954906518,0.0,0.0,1,0
208,CASH_OUT,336380.17,C2070222565,228108.0,0.0,C1350406276,193891.71,530271.88,0,0
14,CASH_OUT,163115.52,C1873432037,51392.0,0.0,C1509004695,0.0,222010.79,0,0
350,CASH_OUT,5963850.34,C1892591356,5963850.34,0.0,C1336813990,224597.16,6188447.5,1,0
205,TRANSFER,245694.84,C468833365,245694.84,0.0,C600157960,0.0,0.0,1,0
20,TRANSFER,852140.62,C1683170230,9613.0,0.0,C832990780,1502584.19,2209134.19,0,0
64,TRANSFER,1814483.97,C1198248537,1814483.97,0.0,C29406343,0.0,0.0,1,0
281,TRANSFER,72069.61,C2062902309,0.0,0.0,C766868918,461944.91,534014.51,0,0
713,CASH_OUT,4130371.73,C1678282233,4130371.73,0.0,C1429996969,857797.35,4988169.08,1,0
405,CASH_OUT,16207.5,C1797251432,46985.0,30777.5,C486757154,122439.45,138646.95,0,0
255,PAYMENT,2835.26,C1301786024,20210.0,17374.74,M979538236,0.0,0.0,0,0
327,CASH_OUT,13786.24,C2048451164,0.0,0.0,C1443243523,6684618.81,6698405.05,0,0
235,PAYMENT,9440.5,C1323718950,30862.0,21421.5,M670920761,0.0,0.0,0,0
257,CASH_IN,17408.6,C1918380001,2881670.54,2899079.14,C1242126717,209862.2,192453.6,0,0
257,PAYMENT,10612.63,C1152285899,0.0,0.0,M1439464914,0.0,0.0,0,0
406,CASH_OUT,184588.59,C1507841762,184588.59,0.0,C1402386572,0.0,184588.59,1,0
336,TRANSFER,38115.0,C196135268,38115.0,0.0,C1809264943,0.0,0.0,1,0
9,CASH_IN,61404.43,C760620092,6683280.93,6744685.36,C1044487501,155194.0,487677.86,0,0
326,TRANSFER,6546019.0,C1767197728,6546019.0,0.0,C1526183462,0.0,0.0,1,0
255,CASH_OUT,87021.25,C573562281,249169.0,162147.75,C1775410983,171125.68,258146.93,0,0
274,CASH_IN,274163.54,C1260789794,4500149.83,4774313.37,C120257671,1642045.3,1367881.76,0,0
37,CASH_OUT,1842.0,C323132484,1842.0,0.0,C1737682079,0.0,1842.0,1,0
281,CASH_OUT,136560.47,C649789167,47913.0,0.0,C1646766659,133809.09,270369.56,0,0
142,PAYMENT,2557.54,C339234718,85703.0,83145.46,M623727353,0.0,0.0,0,0
187,CASH_OUT,384879.93,C1396141057,53882.0,0.0,C1746069404,163444.15,548324.08,0,0
3,TRANSFER,22877.0,C1247938090,22877.0,0.0,C1002031672,0.0,0.0,1,0
541,TRANSFER,107320.81,C216622685,107320.81,0.0,C937316720,0.0,0.0,1,0
181,TRANSFER,410299.86,C364474699,410299.86,0.0,C1549220926,0.0,0.0,1,0
401,CASH_IN,108487.23,C90957895,9938.0,118425.23,C1188360585,118403.24,9916.02,0,0
358,CASH_OUT,5656416.95,C391508712,5656416.95,0.0,C447486475,0.0,5656416.95,1,0
330,PAYMENT,17538.55,C1219827805,0.0,0.0,M677779208,0.0,0.0,0,0
299,PAYMENT,27791.33,C1170435658,29772.0,1980.67,M1858313322,0.0,0.0,0,0
63,TRANSFER,148188.84,C1621152719,148188.84,0.0,C2001263601,0.0,0.0,1,0
275,CASH_OUT,76400.26,C1165220159,0.0,0.0,C1771469594,8426615.4,8503015.66,0,0
322,TRANSFER,2533650.09,C89581847,2533650.09,0.0,C1844657396,0.0,0.0,1,0
282,CASH_OUT,13703.97,C1573184581,0.0,0.0,C2141809964,2062106.14,2075810.11,0,0
534,CASH_OUT,492896.75,C1604057641,492896.75,0.0,C773898763,10420895.1,10913791.86,1,0
238,PAYMENT,3384.57,C1495626643,48429.0,45044.43,M2130776515,0.0,0.0,0,0
325,CASH_OUT,119143.22,C1386090360,5541.0,0.0,C2109008370,309947.36,429090.58,0,0
310,CASH_OUT,1085637.56,C1409592985,1085637.56,0.0,C1064567159,0.0,1085637.56,1,0
265,TRANSFER,415437.27,C1772129702,415437.27,0.0,C42065364,0.0,0.0,1,0
15,PAYMENT,4483.89,C1496380851,0.0,0.0,M697540634,0.0,0.0,0,0
11,CASH_IN,45928.92,C1334554428,3899263.96,3945192.88,C876705422,492080.53,1349469.99,0,0
565,TRANSFER,364715.24,C1929279421,364715.24,0.0,C921819400,0.0,0.0,1,0
74,CASH_OUT,1311150.9,C605093641,1311150.9,0.0,C721605153,0.0,1311150.9,1,0
239,CASH_OUT,499178.99,C1991841954,85477.54,0.0,C1436430302,821170.88,1320349.87,0,0
619,CASH_OUT,945131.71,C1366832046,945131.71,0.0,C1275965910,0.0,945131.71,1,0
201,CASH_IN,66923.03,C973002500,1396598.95,1463521.99,C347009,917439.06,850516.02,0,0
139,PAYMENT,7844.29,C1365551014,0.0,0.0,M263674798,0.0,0.0,0,0
322,CASH_OUT,354633.68,C1573585984,0.0,0.0,C764002884,520518.78,875152.45,0,0
232,CASH_OUT,112716.08,C434035910,60508.0,0.0,C2044125620,260026.15,372742.23,0,0
256,CASH_IN,181782.13,C1627479940,2638581.72,2820363.84,C1595875640,1230795.05,1049012.92,0,0
417,TRANSFER,1049586.54,C894359747,1049586.54,0.0,C1813474981,0.0,0.0,1,0
252,CASH_OUT,276321.62,C908521055,70251.0,0.0,C1450177941,102654.26,378975.88,0,0
306,CASH_OUT,98285.6,C269879387,19888.0,0.0,C1405309586,1896450.65,1994736.26,0,0
563,TRANSFER,2905831.61,C174689091,2905831.61,0.0,C138574758,0.0,0.0,1,0
